iter	RMSE
0	4351.770468
1	4148.661759
2	3946.049325
3	3770.690167
4	3621.932264
5	3497.754581
6	3380.380734
7	3270.132012
8	3181.058347
9	3098.01113
10	3028.17066
11	2983.759642
12	2930.908896
13	2886.974896
14	2840.339993
15	2798.334681
16	2765.023823
17	2738.68885
18	2714.362361
19	2697.39481
20	2662.640388
21	2638.491784
22	2622.05717
23	2607.236966
24	2590.44566
25	2579.40311
26	2567.615971
27	2557.218047
28	2548.683
29	2541.33802
30	2518.91623
31	2510.025412
32	2501.965847
33	2491.637347
34	2478.415373
35	2463.411369
36	2451.747715
37	2437.239991
38	2430.001313
39	2423.490567
40	2419.03168
41	2414.397298
42	2408.582876
43	2402.413616
44	2392.821079
45	2389.871901
46	2386.012569
47	2369.699868
48	2364.408829
49	2361.839117
50	2355.663909
51	2348.4121
52	2344.849547
53	2335.550262
54	2329.645417
55	2319.020083
56	2314.822965
57	2311.366856
58	2307.531856
59	2303.492873
60	2298.384911
61	2293.806844
62	2290.398133
63	2287.502301
64	2285.464536
65	2283.605211
66	2280.944273
67	2274.060426
68	2270.68453
69	2265.285381
70	2256.420762
71	2254.110236
72	2252.012037
73	2250.569404
74	2248.000322
75	2237.555742
76	2234.157496
77	2229.276541
78	2223.655659
79	2220.545831
80	2214.848105
81	2206.649221
82	2205.014868
83	2203.922885
84	2201.687328
85	2197.76564
86	2191.884987
87	2188.026168
88	2183.680945
89	2178.400874
90	2175.935889
91	2173.957811
92	2169.798129
93	2167.293312
94	2163.551405
95	2160.733989
96	2159.160044
97	2158.724201
98	2152.373608
99	2151.616496
